sample,GPSC
GPS_all_assemblies/23430_1#186.contigs_velvet.fa,1
GPS_all_assemblies/17794_6#29.contigs_velvet.fa,1
GPS_all_assemblies/12291_4#13.contigs_velvet.fa,1
GPS_all_assemblies/23430_3#119.contigs_velvet.fa,1
GPS_all_assemblies/6755_4#8.contigs_velvet.fa,1
GPS_all_assemblies/6823_3#11.contigs_velvet.fa,1
GPS_all_assemblies/17150_6#33.contigs_velvet.fa,1
GPS_all_assemblies/17794_4#32.contigs_velvet.fa,1
GPS_all_assemblies/22841_1#110.contigs_velvet.fa,1
GPS_all_assemblies/17794_5#91.contigs_velvet.fa,1
GPS_all_assemblies/23204_4#86.contigs_velvet.fa,1
GPS_all_assemblies/6823_2#18.contigs_velvet.fa,1
GPS_all_assemblies/13353_7#78.contigs_velvet.fa,1
GPS_all_assemblies/6983_2#21.contigs_velvet.fa,1
GPS_all_assemblies/6791_6#24.contigs_velvet.fa,1
GPS_all_assemblies/12162_1#63.contigs_velvet.fa,1
GPS_all_assemblies/6899_5#7.contigs_velvet.fa,1
GPS_all_assemblies/9803_8#35.contigs_velvet.fa,1
GPS_all_assemblies/11657_4#74.contigs_velvet.fa,1
GPS_all_assemblies/12299_2#1.contigs_velvet.fa,1
GPS_all_assemblies/18090_2#68.contigs_velvet.fa,1
GPS_all_assemblies/23430_1#43.contigs_velvet.fa,1
GPS_all_assemblies/14566_5#42.contigs_velvet.fa,1
GPS_all_assemblies/17794_5#48.contigs_velvet.fa,1
GPS_all_assemblies/17150_6#62.contigs_velvet.fa,1
GPS_all_assemblies/20402_4#127.contigs_velvet.fa,1
GPS_all_assemblies/19341_2#73.contigs_velvet.fa,1
GPS_all_assemblies/14520_8#19.contigs_velvet.fa,1
GPS_all_assemblies/7038_4#20.contigs_velvet.fa,1
GPS_all_assemblies/12274_5#47.contigs_velvet.fa,1
GPS_all_assemblies/20402_4#110.contigs_velvet.fa,1
GPS_all_assemblies/9803_7#18.contigs_velvet.fa,1
